subject,session,scan,snr,bg_mean,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality
sub-50005,session_1,bht,11.8075883752,47.6412899139,100786,61.0093924752,1.13778435906,0.564775430294,90.4220083606,720.373793368,38478,151.171788197,2.01517457497,2.00180333333,1.89057,2.16234333333,0.0755968199238,0.0496900044382,22.8711433411,0.695445634057,21,n/a,26.25,0.0405154455696
sub-50005,session_1,taskswitch,11.7564666719,46.1617941729,100810,61.7186355961,1.29159444694,0.560634928788,92.5714751121,725.593082418,38454,152.956676925,1.98078254004,1.96244333333,1.9011725,2.08301666667,0.0406954661938,0.0494177676737,40.839805603,0.328971044147,2,n/a,0.956937799043,0.0156551768269
sub-50005,session_1,scap,11.8300162759,45.6737301621,100788,61.409335286,1.29346484998,0.559698081014,94.0829428485,726.473435926,38476,152.629468928,1.97318091908,1.96466666667,1.8839675,2.07557666667,0.0297431550106,0.0497805215418,43.7028236389,0.307879186797,3,n/a,1.02739726027,0.0145049008591
sub-50005,session_1,stopsignal,11.816026736,45.7371900259,100808,61.5224908772,1.36082711243,0.55972652725,93.8784793783,726.951397068,38456,152.492611577,1.98979242943,1.98060333333,1.8979825,2.09572,0.0478143632572,0.0501137115061,35.4997253418,0.369294514004,2,n/a,1.08108108108,0.0198972463587
sub-50005,session_1,pamret,12.6639056279,42.4843682778,101245,56.4025926386,1.21956611123,0.553300163572,106.845004416,714.277110344,38019,150.17740699,1.96681796862,1.97617,1.867855,2.06122,0.0309425178305,0.0410528630018,43.777015686,0.316115895012,1,n/a,0.469483568075,0.0140345186321
sub-50005,session_1,pamenc,12.5709640896,41.8153788524,101182,56.8450439932,1.22488632597,0.551991691965,107.071902236,714.597006713,38082,150.179867063,1.96840492057,1.98134,1.8669325,2.06184,0.0411197196369,0.0423749536276,44.1593704224,0.259099573369,3,n/a,1.52284263959,0.01334461
sub-50005,session_1,bart,12.7382863097,40.8232692419,101349,55.2520894482,1.23723944766,0.55066200996,109.57511539,703.816934598,37915,147.514120281,1.98303576952,1.97754333333,1.88074,2.0967,0.067200537268,0.0424399599433,33.9911155701,0.353121687516,11,n/a,4.10447761194,0.0200030890262
sub-50005,session_1,rest,11.5867823393,45.9601376248,100776,62.4094264934,1.2163323868,0.560274849156,90.9558428161,723.124440698,38488,153.24631185,1.95908914922,1.95611666667,1.8700175,2.05552666667,0.0098310009256,0.0497380532324,58.8225708008,0.170334120099,0,n/a,0,0.00787809559211
sub-50006,session_1,taskswitch,11.615766793,47.1335323323,102602,61.7938443436,1.08659999064,0.550845170577,90.4417635526,717.782885138,36662,176.23265899,2.37614557207,2.35251333333,2.63852333333,2.1613575,0.0212742433379,0.0368448682129,37.4412994385,0.283912778319,2,n/a,0.956937799043,0.0155267736538
sub-50006,session_1,pamret,11.6040424017,44.6832226997,102600,61.0234416651,1.1056127701,0.547421238035,92.7231744785,708.118604578,36664,170.246237357,2.38091854205,2.35705666667,2.64354333333,2.1660925,0.0603087007972,0.0389414727688,32.5719604492,0.375080981186,9,n/a,4.22535211268,0.0190921881132
sub-50006,session_1,scap,11.516481568,47.5805443678,102655,62.5856537014,1.1206894228,0.551195031659,89.0455921563,720.766527276,36609,175.705710429,2.37209945032,2.35983,2.59686333333,2.1780575,0.0233907810784,0.0356276445091,38.9920692444,0.284355029996,6,n/a,2.05479452055,0.0134487231959
sub-50006,session_1,bht,11.786658816,46.5213835065,102730,60.283246489,1.02717866844,0.550200904765,92.3289411372,710.538058689,36534,174.599406994,2.44693150307,2.44185333333,2.70650333333,2.2168525,0.0381356250656,0.0388052500784,29.0664329529,0.554960308447,12,n/a,15,0.0226741875949
sub-50006,session_1,pamenc,11.703780611,44.746984975,102675,60.2498876057,1.08921233628,0.548033853958,93.315981816,705.151466378,36589,168.363816934,2.36591518338,2.34886333333,2.60704666667,2.1626725,0.0622830391993,0.0383737981319,31.0776386261,0.391352870284,12,n/a,6.09137055838,0.0200658843367
sub-50006,session_1,rest,11.4713438637,47.5479228149,102591,62.5901855952,1.10113745705,0.551620730957,88.4469058516,717.993541457,36673,175.890455984,2.39141847029,2.37409666667,2.62523,2.1943225,0.031677244072,0.0373088791966,38.1099090576,0.303567642178,2,n/a,1.30718954248,0.0139033438158
